Country,health_count,total_sentences,total_words,health_percent,population,sids,income,democracy,health_expenditure,coal_rents,temperature_change,air_pollution,HES,HES_1,HES_2,HES_3,HES_4,health_topic,economy_topic,energy_topic,agri_topic,Other_1,Other_2,eu
HUN,0,33,1133,0,16.099323272705078,0,9.472118377685547,8.75,7.134909183,0.013549992,0.670213552,15.600000381469727,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
IDN,6,256,7134,0.08410428931875526,19.382152557373047,0,8.178315162658691,8.083333015441895,3.119054809,0.642771885,1.109642958,15.600000381469727,1,1,0,0,0,0.11920432729913732,0.12130076412675048,0.17846720975668098,0.2058189235826704,0.1855581946593988,0.18965058057536205,Non-EU
IND,25,486,13881,0.18010229810532383,21.004308700561523,0,7.455453395843506,8.5,3.510983288,0.816468092,0.53823996,65.19999694824219,5,1,1,1,1,0.1684493710568184,0.2335166732307634,0.2215088530220208,0.1663728762099827,0.07901783735314419,0.13113438912727046,Non-EU
IRL,0,33,1133,0,15.374777793884277,0,11.0540132522583,10,7.382569462,0,0.423982275,8.300000190734863,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
ISL,0,28,1083,0,12.72319507598877,0,11.030978202819824,10,8.126642555,0,1.061228306,5.900000095367432,0,0,0,0,0,0.02877022681328052,0.11838139561712084,0.533712580857322,0.03679871674454128,0.12035041931415565,0.16198666065357975,Non-EU
ISR,1,48,1412,0.0708215297450425,15.960973739624023,0,10.527328491210938,8.583333969116211,7.325906307,0,1.750697892,19.5,1,1,0,0,0,0.08780262739030642,0.1953597607647977,0.4081118924833119,0.03732202674086481,0.1437527579953604,0.1276509346253587,Non-EU
ITA,0,33,1133,0,17.920259475708008,0,10.339679718017578,10,8.880628645,0,0.254767877,15.300000190734863,0,0,0,0,0,0.02671368440476712,0.12137289718249872,0.5963116282310038,0.06700286816271715,0.12716531175336296,0.06143361026565015,EU
JAM,8,108,3347,0.23902001792650132,14.882369995117188,1,8.485359191894531,8.5,5.734744668,0,0.591378304,13.300000190734863,1,1,0,0,0,0.22019413811282976,0.18484961470976333,0.21661966386063383,0.08103390666939729,0.16724370401961772,0.13005897262775817,Non-EU
JOR,43,358,13704,0.31377699941622883,16.07220458984375,0,8.319652557373047,3.4166665077209473,7.167056203,0,1.7240604,32.099998474121094,5,1,1,1,1,0.16906543162789772,0.20913639504459464,0.22027239356892975,0.1573378426768997,0.1313703837145418,0.1128175533671363,Non-EU
JPN,0,66,3461,0,18.65965461730957,0,10.56602954864502,10,10.82552895,3.18279e-4,0.630186138,11.399999618530273,0,0,0,0,0,0.03391375350408018,0.11543939164791346,0.5847486298130641,0.07069183675685796,0.11008578105023646,0.08512060722784787,Non-EU
KAZ,0,24,955,0,16.694374084472656,0,8.95090103149414,1.8333332538604736,3.434833884,0.751932518,0.557375534,11.300000190734863,0,0,0,0,0,0.0297556847865642,0.19893397678283867,0.5531354349412935,0.05404376592593585,0.11648044935571138,0.04765068820765635,Non-EU
KEN,3,110,2485,0.12072434607645875,17.708385467529297,0,7.251718997955322,7.25,5.018576235,0,0.661952066,25.899999618530273,2,1,1,0,0,0.19578645398249775,0.1884828673647756,0.2823369002443538,0.11430198737123264,0.1349999022839099,0.08409188875323041,Non-EU
KGZ,1,81,1744,0.05733944954128441,15.62043285369873,0,7.021678924560547,5.916666507720947,6.412482262,0.132412272,0.913864364,18.100000381469727,1,1,0,0,0,0.12108947660523194,0.15148164134512315,0.35288598355854917,0.03580898814018637,0.2610132495479389,0.07772066080297045,Non-EU
KHM,23,144,5649,0.4071517082669499,16.57338523864746,0,7.153545379638672,4.25,6.116484478,0,0.840842928,24,4,1,1,1,1,0.2498278055136736,0.20698074736894903,0.1712264187941769,0.16029077018168583,0.1280701931978353,0.0836040649436793,Non-EU
KIR,16,350,13858,0.11545677586953383,11.630921363830566,1,7.368218421936035,10,9.320367873,0,0.617266357,10.5,4,1,1,1,1,0.3126788882815777,0.2680912775030495,0.10033120431204172,0.11122285966231056,0.07767442731565026,0.13000134292537013,Non-EU
KNA,1,67,1314,0.076103500761035,10.851760864257812,1,9.842247009277344,10,4.984227568,0,0.518157959,12.300000190734863,1,1,0,0,0,0.15706526676882063,0.18535756515773655,0.28085661185434435,0.05384964477352513,0.15430381032675125,0.16856710111882203,Non-EU
KOR,1,41,1463,0.0683526999316473,17.751598358154297,0,10.225870132446289,8.666666030883789,7.32512027,0.001301826,1.215405993,24.600000381469727,1,1,0,0,0,0.11246637751228712,0.15493377420701743,0.4339620229935433,0.06521466347828392,0.13871558901853892,0.09470757279032936,Non-EU
KWT,2,89,3809,0.05250721974271463,15.190964698791504,0,10.227495193481445,2.4166665077209473,3.973542899,0,0.782442322,57.20000076293945,1,1,0,0,0,0.12167198357039416,0.19596559533377825,0.2100726442188059,0.1152064630683001,0.12789727454034436,0.22918603926837736,Non-EU
LBN,4,155,4599,0.08697542944118286,15.719276428222656,0,8.940491676330566,6.0833330154418945,7.82264024,0,1.63409327,30.700000762939453,2,1,1,0,0,0.19334381361328573,0.18462867541543748,0.2501366850304285,0.14330676964512748,0.13993443261155458,0.08864962368416623,Non-EU
LBR,14,167,4013,0.348866184899078,15.338690757751465,0,6.571755886077881,6.9166669845581055,9.795856476,0,0.329014168,17.200000762939453,4,1,1,1,1,0.1872836894503041,0.19174435668723275,0.20173513271508067,0.1448859818369406,0.1635532950879466,0.11079754422249534,Non-EU
LCA,6,94,3810,0.15748031496062992,12.100845336914062,1,9.153987884521484,10,5.197576061,0,0.549965151,21.200000762939453,2,1,1,0,0,0.176253806017407,0.19761364940477805,0.31106795604430193,0.08452106925532551,0.12869912234767228,0.10184439693051528,Non-EU
LKA,41,544,11622,0.3527792118396145,16.869653701782227,0,8.26521110534668,6.9166669845581055,3.893241659,0,1.026953173,15.199999809265137,5,1,1,1,1,0.21714577738640167,0.19531249742194445,0.1643126891465074,0.1556696870614973,0.15725977900172533,0.11029956998192378,Non-EU
